animal_id,repeated_trial,trial.number,trial.start_time,trial.end_time,trial.duration,block.number,block.training_level,block.trials_per_block,session.number,session.type,session.setup_id,sound.abl,sound.ild,sound.sound_index,sound.left_amplification,sound.right_amplification,iti.intended_duration,iti.start_time,iti.end_time,iti.timed_duration,time_to_cnp.timed_value,time_to_cnp.max_duration,fixation_time.opto_onset_time.base_time,fixation_time.opto_onset_time.exp_mean,fixation_time.opto_onset_time.intended_duration,fixation_time.opto_onset_time.timed_duration,fixation_time.sound_onset_time.base_time,fixation_time.sound_onset_time.exp_mean,fixation_time.sound_onset_time.intended_duration,fixation_time.sound_onset_time.timed_duration,reaction_time.base_time,reaction_time.max_duration,reaction_time.timed_duration,movement_time.max_duration,movement_time.timed_duration,lnp_time.intended_duration,lnp_time.timed_duration,outcome.response_poke,outcome.value,outcome.block_performance,outcome.block_abort_ratio,optogenetics.opto_trial,optogenetics.duration,optogenetics.left_power,optogenetics.right_power
1,False,3,11.873984,42.564992,30.691007999999997,1,1,200,1,1,0,25.0,50.0,2,58.807637813270205,7.5381710366784285,1.0,10.864992,11.872,1.007007999999999,25.927487999999997,180.0,5.5,0.0,5.5,0.0845120000000037,5.5,0.0,5.5,0.016992000000001894,0.011,10.0,1.9637760000000029,180.0,1.5643519999999995,0.01,0.02383999999999986,1,1,0.0,0.0,False,0.0,0.0,0.0
1,False,4,43.640992,49.708992,6.068000000000005,1,1,200,1,1,0,25.0,-50.0,2,7.67056145390481,57.792644614534616,1.0,42.566976,43.638976,1.0720000000000027,2.0744960000000034,180.0,6.0,0.0,6.0,0.010495999999996286,6.0,0.0,6.0,0.016000000000005343,0.012,10.0,0.9735039999999984,180.0,1.9653120000000044,0.01,0.016159999999999286,-1,1,0.0,0.0,False,0.0,0.0,0.0
1,False,5,50.736,60.504992,9.768992000000004,1,1,200,1,1,0,25.0,-50.0,2,7.67056145390481,57.792644614534616,1.0,49.713983999999996,50.733984,1.0200000000000031,6.143584000000004,180.0,6.5,0.0,6.5,0.027391999999998973,6.5,0.0,6.5,0.015999999999998238,0.013000000000000001,10.0,1.0653759999999934,180.0,1.492832,0.01,0.013792000000002247,1,1,0.0,0.0,False,0.0,0.0,0.0
1,False,3,72.066976,94.721984,22.65500800000001,1,1,200,1,1,0,25.0,50.0,2,58.807637813270205,7.5381710366784285,1.0,71.056,72.064992,1.0089920000000063,17.470591999999996,180.0,5.5,0.0,5.5,0.10441600000000051,5.5,0.0,5.5,0.020000000000010232,0.011,10.0,1.636256000000003,180.0,2.2839039999999926,0.01,0.018368000000009488,1,1,0.0,0.0,False,0.0,0.0,0.0
1,False,3,13156.008,13158.857984,2.849984000000404,1,1,200,1,1,0,25.0,-50.0,2,7.67056145390481,57.792644614534616,1.0,13155.002976,13156.005984,1.0030079999996815,0.9551360000004934,180.0,5.5,0.0,5.5,0.05286399999931746,5.5,0.0,5.5,0.009984000000258675,0.011,10.0,0.6854399999992893,180.0,1.1085760000005394,0.01,0.03398399999969115,1,2,1.0,0.0,False,0.0,0.0,0.0
1,False,4,13159.968,13170.348,10.3799999999992,1,1,200,1,1,0,25.0,50.0,2,58.807637813270205,7.5381710366784285,1.0,13158.858976,13159.965984,1.1070080000008602,8.148831999998947,180.0,6.0,0.0,6.0,0.009152000000540284,6.0,0.0,6.0,0.010016000000177883,0.012,10.0,0.6371519999993325,180.0,1.5577599999996892,0.01,0.013087999999697786,-1,2,1.0,0.0,False,0.0,0.0,0.0
1,False,5,13171.357984,13176.546976,5.188991999999416,1,1,200,1,1,0,25.0,-50.0,2,7.67056145390481,57.792644614534616,1.0,13170.348992,13171.356,1.0070080000004964,2.484383999999409,180.0,6.5,0.0,6.5,0.013632000000143307,6.5,0.0,6.5,0.020000000000436557,0.013000000000000001,10.0,0.6144319999984873,180.0,1.0229760000001988,0.01,0.010592000000542612,1,1,0.6666666666666666,0.0,False,0.0,0.0,0.0
1,False,6,13177.557984,13183.736,6.178016000001662,1,1,200,1,1,0,25.0,-50.0,2,7.67056145390481,57.792644614534616,1.0,13176.549984,13177.556,1.006016000001182,1.9655040000016015,180.0,7.0,0.0,7.0,0.02249599999959173,7.0,0.0,7.0,0.010016000000177883,0.014000000000000002,10.0,1.306112000000212,180.0,1.8407360000001063,0.01,0.021152000001166016,-1,1,0.5,0.0,False,0.0,0.0,0.0
1,False,3,13793.424,13822.172992,28.748991999998907,1,1,200,1,1,0,25.0,-50.0,2,7.67056145390481,57.792644614534616,1.0,13792.416,13793.421984,1.0059840000012628,27.15980799999852,180.0,5.5,0.0,5.5,0.04217600000083621,5.5,0.0,5.5,0.01599999999962165,0.011,10.0,0.448287999999593,180.0,1.0341760000010254,0.01,0.02351999999882537,1,2,1.0,0.0,False,0.0,0.0,0.0
1,False,3,13888.502976,13908.580992,20.07801599999948,1,1,200,1,1,0,25.0,-50.0,2,7.67056145390481,57.792644614534616,1.0,13887.484992,13888.500992,1.0159999999996217,17.178815999999642,180.0,5.5,0.0,5.5,0.03920000000107393,5.5,0.0,5.5,0.009984000000258675,0.011,10.0,0.58675200000107,180.0,1.1922560000002704,0.01,0.015679999998610583,1,1,0.0,0.0,False,0.0,0.0,0.0
